	NCBI accession	species	subs	BUSCO_complete_single_copy	family	order	oskar_accessions	blondel_oskar_count	oskar_present	iq_tree_label	GC_mech
0	GCA_963669975.1	Acanthoscelides obtectus		81.0	Chrysomelidae	Coleoptera	{'CAK1628125.1'}		True	Acanthoscelides_obtectus	GP
1	GHUU01.1	Acheta domesticus		72.9	Gryllidae	Orthoptera	{'GHUU01.1;GHUU01020574.1.p1'}	1.0	True	Acheta_domesticus	IND
2	GCF_005508785.2	Acyrthosiphon pisum		88.8	Aphididae	Hemiptera		0.0	False	Acyrthosiphon_pisum	GP
3	GCF_002204515.2	Aedes aegypti		92.6	Culicidae	Diptera	{'XP_001656415.1'}	2.0	True	Aedes_aegypti	GP
4	GCF_943734735.2	Anopheles gambiae		97.2	Culicidae	Diptera	{'XP_313289.4'}	1.0	True	Anopheles_gambiae	GP
5	GFCX01.1	Antheraea pernyi		55.8	Saturniidae	Lepidoptera		0.0	False	Antheraea_pernyi	IND
6	GCF_003254395.2	Apis mellifera		98.3	Apidae	Hymenoptera		0.0	False	Apis_mellifera	IND
7	GCF_917208135.1	Athalia rosae		99.0	Athaliidae	Hymenoptera	{'XP_012267561.2'}	1.0	True	Athalia_rosae	GP
8	GCF_016617805.1	Bactrocera tryoni		95.3	Tephritidae	Diptera	{'XP_039970531.1'}	0.0	True	Bactrocera_tryoni	GP
9	GCA_003018175.1	Blattella germanica		66.5	Blattellidae	Blattodea		0.0	False	Blattella_germanica	IND
10	GCF_030269925.1	Bombyx mori		98.4	Bombycidae	Lepidoptera		0.0	False	Bombyx_mori	IND
11	GCF_014529535.1	Bradysia coprophila		96.4	Sciaridae	Diptera	{'XP_037045674.1', 'XP_037038002.1'}		True	Bradysia_coprophila	GP
12	GCF_958450345.1	Calliphora vicina		97.5	Calliphoridae	Diptera	{'XP_065354390.1'}	0.0	True	Calliphora_vicina	GP
13	GEUF01.1	Callosobruchus maculatus		75.7	Chrysomelidae	Coleoptera	{'GEUF01.1;GEUF01052237.1.p1', 'GEUF01.1;GEUF01038497.1.p1', 'GEUF01.1;GEUF01006592.1.p1'}	1.0	True	Callosobruchus_maculatus	GP
14	GCF_003227725.1	Camponotus floridanus		97.3	Formicidae	Hymenoptera	{'XP_011252874.1'}	1.0	True	Camponotus_floridanus	GP
15	GCA_965637365.1	Clogmia albipunctata		79.1	Psychodidae	Diptera		0.0	False	Clogmia_albipunctata	IND
16	GCF_000648655.2	Copidosoma floridanum		91.4	Encyrtidae	Hymenoptera	{'XP_014212910.1'}	1.0	True	Copidosoma_floridanum	GP
17	GAYP02.1	Ctenocephalides felis		68.1	Pulicidae	Siphonaptera		0.0	False	Ctenocephalides_felis	GP
18	GCF_015732765.1	Culex quinquefasciatus		94.2	Culicidae	Diptera	{'XP_001848641.1'}	1.0	True	Culex_quinquefasciatus	GP
19	GCF_011750605.1	Drosophila busckii		94.4	Drosophilidae	Diptera	{'XP_017845653.1|LOC108602136'}	1.0	True	Drosophila_busckii	GP
20	GCF_003285905.1	Drosophila hydei		94.4	Drosophilidae	Diptera	{'XP_023173869.2|LOC111601507'}	1.0	True	Drosophila_hydei	GP
21	GCF_000001215.4	Drosophila melanogaster		95.6	Drosophilidae	Diptera	{'NP_731295.1'}	1.0	True	Drosophila_melanogaster	GP
22	GCF_030788295.1	Drosophila virilis		93.8	Drosophilidae	Diptera	{'XP_002053269.1|osk'}	1.0	True	Drosophila_virilis	GP
23	GCF_018902025.1	Drosophila willistoni		94.5	Drosophilidae	Diptera	{'XP_023034501.2|LOC6647420'}	1.0	True	Drosophila_willistoni	GP
24	GAVW02.1	Epiophlebia superstes		64.1	Epiophlebiidae	Odonata		0.0	False	Epiophlebia_superstes	IND
25	GCA_964304675.1	Epiphyas postvittana		72.3	Tortricidae	Lepidoptera		0.0	False	Epiphyas_postvittana	IND
26	GAYQ02.1	Forficula auricularia		52.1	Forficulidae	Dermaptera		0.0	False	Forficula_auricularia	IND
27	GCA_017312745.1	Gryllus bimaculatus		86.6	Gryllidae	Orthoptera	{'GLG94685.1'}	0.0	True	Gryllus_bimaculatus	IND
28	GCF_022581195.2	Helicoverpa zea		98.8	Noctuidae	Lepidoptera		0.0	False	Helicoverpa_zea	IND
29	GEJI01.1	Icerya purchasi		67.3	Monophlebidae	Hemiptera			False	Icerya_purchasi	IND
30	GCTF01.1	Inocellia japonica		59.9	Inocelliidae	Raphidioptera			False	Inocellia_japonica	GP
31	GCA_001045655.1	Lasius niger		67.7	Formicidae	Hymenoptera		0.0	False	Lasius_niger	GP
